Asset_A;Asset_B;P-Value
EXR;PHM;8.187364834738358e-07
CSCO;IR;1.3768096849404652e-06
IR;OXY;4.07456560027018e-06
DHI;EXR;7.612325178928004e-06
ABT;C;9.075818053042551e-06
WDAY;WTW;1.0003211489868243e-05
AFL;CNC;1.1269436707674583e-05
ADSK;WDAY;1.806050387429101e-05
EXR;HST;1.8552201161376674e-05
EMN;NOC;2.2414537280799318e-05
EPAM;MMM;2.4924161298055306e-05
HUM;VRTX;2.823668891646421e-05
HUM;NI;2.8596412089040397e-05
DLR;ZBRA;2.883253409399741e-05
EXR;WM;3.0079570204853445e-05
CNC;MCO;3.0884271330637724e-05
INVH;RL;3.759370215130224e-05
CCL;SLB;4.5021577038392886e-05
HUM;KO;4.9738498645894375e-05
MTD;ZBRA;5.2519315629021945e-05
HST;TXN;5.926558857576845e-05
CNC;EMN;6.242599986149046e-05
MNST;UNH;7.555525717513556e-05
GPN;WTW;8.237917491780854e-05
BAX;KO;8.352547980083885e-05
GD;ZBRA;9.156012007108057e-05
ADM;MOH;9.437573110346773e-05
EXR;TXN;0.00010568679401262312
EPAM;MPC;0.00011127273826284769
EXR;PH;0.00011475934369579118
CI;MNST;0.00011509240341139205
EL;MNST;0.00011654875954900146
APTV;TRMB;0.00012230408975512152
ALGN;CRM;0.00013008979523010947
MA;XYL;0.00013354586733859065
ADBE;HON;0.00013388166270661048
EPAM;MAR;0.0001402505372839674
MS;PNC;0.00014468809786374537
MSCI;V;0.0001500504180455495
CNC;NOC;0.00015893062308040042
A;TRMB;0.00016184241290550624
CI;XYL;0.00016515370820388055
C;CNC;0.00017291575422683352
INVH;PODD;0.00017375436384333703
KKR;NOC;0.0001739631533629002
KKR;PSX;0.00017472066887693836
EL;MSFT;0.00018393422031333002
ABT;EMN;0.00018434914359465035
EXR;GE;0.00018465738535215363
REG;SYF;0.00020034333621441665
HST;TEL;0.00020238592631223755
EXR;ODFL;0.0002033327616501242
DG;IR;0.00020938257097351669
DXCM;KKR;0.00021009407221893447
ADBE;ANET;0.0002113993665472214
DVA;HCA;0.0002115273762477006
CNC;XYL;0.00021335657944482293
EXR;RMD;0.00021863230339239589
AMZN;ELV;0.0002192217319489354
BAX;HUM;0.00022116182838326332
EXR;ROK;0.00022418483568327157
NUE;VTRS;0.00022638492831312203
HUM;RCL;0.00023401674873653466
KO;RCL;0.0002453104337403911
C;MA;0.0002468960765653782
HUM;ROL;0.0002481332083724775
AMAT;DXCM;0.00024980780594418563
VRSN;XYL;0.0002519297640533468
NVR;UNH;0.0002587781291281989
CCI;ED;0.0002721112560523507
ENPH;J;0.0002754620271623346
PGR;UNH;0.00028083407776349507
MNST;NVR;0.000287797621901848
ANET;AWK;0.00028945333792906956
PNR;PPG;0.00029530940196783575
DOC;GNRC;0.0002961210893071317
KHC;UPS;0.0002993116632096547
CNC;LMT;0.00029967142219651565
BLDR;EXR;0.00030162190812832245
ELV;EPAM;0.00030820837511440186
APA;CNP;0.00031376590105245924
AVGO;SYK;0.00032680663625664157
EXR;MSFT;0.00033456064436699967
GPN;TDG;0.00033549321714203625
CDNS;FTV;0.0003466875840262483
HUM;EURUSD=X;0.0003474289615048565
AEP;SBAC;0.0003487319149433817
SW;TDG;0.00035996791072114
DLR;FFIV;0.0003636732996011388
SPGI;STZ;0.00036732324539259266
KKR;TROW;0.00039007415921313467
INCY;IR;0.0003964398995772231
HST;PHM;0.0003965874760322006
LYV;TTWO;0.00039922082780351756
PKG;SW;0.0004028570047180305
